k,skeleton_graph,definite_order_perturbed_graph,random_order_perturbed_graph,dop_like_random_graph,rop_like_random_graph,rop_like_random_graph_same_weights
25,9.999999999999915,17.99999999999915,137.8821263643007,215.8940064240629,246.41986812624467,175.21462422822563
26,9.999999999999924,17.9999999999993,140.09975774702298,216.88760396640237,247.4223141188625,175.58019488839008
27,9.999999999999925,17.999999999999634,144.0531126202358,217.3315392113672,247.75783730753957,176.6784724481698
28,9.999999999999929,17.999999999999904,144.74711828416545,217.5885046778785,247.8307492773328,177.55031437195038
29,9.999999999999945,17.999999999999993,146.40869500801318,217.66600586051774,247.89685718481925,177.7123258785701
30,9.999999999999947,18.000000000000117,147.25281529886982,218.0426235399502,248.44004318835442,177.8252091502868
31,9.999999999999952,18.00000000000027,147.8662645663156,219.22003108848304,248.86735199517278,178.51304340675196
32,9.999999999999961,18.000000000000394,149.64023329756628,220.00081632075143,249.2991188088836,179.10158769174305
33,9.999999999999963,18.000000000001766,151.61965639164143,220.66151969589302,249.79966785891733,179.51358119115466
34,9.999999999999966,19.99999999999821,152.2127952429816,220.84840762706176,249.95492042238803,179.88389570624784
35,9.999999999999972,19.999999999998582,152.46743403445075,221.38940232610275,250.5298578644734,180.29392327020156
36,9.999999999999973,19.9999999999987,155.0746394066912,221.82029047977016,250.8173701489947,180.87410028779664
37,9.99999999999999,19.99999999999935,156.19558727696378,222.18717260327648,251.11059605419007,181.04903920257883
38,9.999999999999991,19.999999999999538,156.55634264704267,222.64216504482627,251.6627103847585,181.28350607054904
39,9.999999999999996,19.999999999999545,156.83079678155408,222.99371018206847,252.1593317222956,181.5968842927902
40,10.000000000000004,19.999999999999613,158.7644216289754,223.39344446940598,252.30986803647355,181.70540462152255
41,10.000000000000004,19.999999999999662,159.1207770159547,223.82816787944694,252.5839258659345,181.8691663406193
42,10.000000000000007,19.999999999999698,159.65396045208024,224.29524063233274,252.6528097561078,182.04003419789032
43,10.00000000000001,19.99999999999974,159.91313346688574,224.99828490162776,252.84788699575884,182.32320826319602
44,10.000000000000014,20.000000000000075,160.06250641128094,225.3481366973167,253.35120736159493,183.08263002221872
45,10.000000000000018,20.00000000000099,162.6451216344543,225.4198983609343,253.4370905068815,183.21546429339773
46,10.000000000000018,20.000000000001194,163.85948902422624,226.24560291478915,253.70799322960593,183.34357120161118
47,10.00000000000002,20.953917282357683,164.34669308274343,226.5462975260202,253.8875315466611,183.95168848691804
48,10.000000000000021,21.202577041818746,164.863147176185,226.83157357825493,254.18612273109616,184.72616793771266
49,10.000000000000028,21.24097138454228,165.1218155692438,226.99572243062048,254.59529273198976,185.05865630901772
50,10.000000000000043,21.388767821060306,168.02094893341678,227.32982399433476,254.71316763714879,185.73125089956403
51,10.000000000000046,21.99999999999779,168.3998253881338,227.3521333987167,255.14236350930094,185.94528669871167
52,10.00000000000005,21.999999999998956,169.83945842071338,227.91777149007038,255.38438784517984,186.03965387295864
53,10.000000000000082,21.999999999998966,171.02666362689317,228.03550703328557,255.47243974823448,186.22999139343824
54,10.000000000000082,21.999999999999208,171.19489430909172,228.40021180358275,255.6750342106427,186.56065800291208
55,10.000000000000083,21.99999999999931,171.4058827730071,228.56925202602966,255.9120572284304,186.90292320062164
56,10.000000000000092,21.99999999999975,171.73071847335765,228.88430648446024,256.09553669186613,187.1760978076782
57,10.000000000000098,21.99999999999982,171.8662478633637,228.9785589519789,256.5096705785173,187.5493894341197
58,10.000000000000105,21.999999999999822,172.26224465011404,229.267721949082,256.7403213403028,187.8627625380019
59,10.000000000000105,22.00000000000043,173.45488585269754,229.46629109019807,257.0702398952718,188.51458618650443
60,10.000000000000117,22.00000000000065,174.77928242769448,229.65170698472016,257.2419809472039,188.52867101188082
61,10.000000000000137,22.000000000000806,175.56162250719356,230.0226139036503,257.745923448759,188.73660601095014
62,10.000000000000203,22.000000000001293,175.77949675378807,230.12388740549554,257.93048074774265,188.8930220226141
63,10.00000000000021,23.189102413406506,176.7405930926668,230.37978424854256,258.04211278028856,189.1894228695977
64,11.999999999999787,23.1980105928963,177.9181629984558,230.59394164841078,258.2280886079101,189.48863939328328
65,11.999999999999833,23.242596835691057,177.95973528098818,230.69370037481994,258.70576223078257,190.5206697896997
66,11.99999999999984,23.243820803682514,178.34945062282523,230.84497744380073,258.77110539221286,190.68901112575392
67,11.999999999999847,23.338817508585578,178.56631160106602,231.18074884961345,259.21073538984285,191.06682536589702
68,11.999999999999853,23.340236417547814,179.34435149884138,231.2472726277788,259.43094489655743,191.1796975104798
69,11.999999999999872,23.385757521996254,180.3006233053159,231.36362462286684,259.50842119780776,191.44255830348249
70,11.999999999999876,23.999999999999226,180.94860222725583,231.63376861258166,259.83465921850063,192.11138041863873
71,11.999999999999876,23.999999999999964,182.05365277061478,231.80507329700495,259.98545842601834,192.3656634601226
72,11.99999999999989,24.00000000000012,182.6008832198199,231.92225073629368,260.40216785161334,192.59050305166835
73,11.999999999999897,24.00000000000025,182.80319852233202,232.08039115474665,260.4666968446267,193.2547360635376
74,11.9999999999999,24.952825154363797,183.14639554295817,232.27655584698633,260.5935596861994,193.74707202638848
75,11.9999999999999,24.98187944991136,183.47183355483938,232.3234544503762,260.79676629064755,193.93253189918732
76,11.999999999999917,25.14248783300137,184.0485446300186,232.41308907754635,260.9113941789819,194.21633839911044
77,11.999999999999918,25.184003308900582,184.42100283892006,232.69164485143716,261.1418549983297,194.45916063479416
78,11.999999999999925,25.274598359055002,185.44219782611643,232.8210209689692,261.3719360130606,194.84332954765958
79,11.99999999999993,25.398590997437562,185.61155680850553,233.11464751060993,261.5069411461583,195.15122932203525
80,11.999999999999932,26.42146249544861,185.86307428330488,233.17346086682204,261.6642494437617,195.3921566779679
81,11.999999999999932,26.789871942792953,186.26947725799906,233.30159635487078,262.22801657848413,195.5220508244531
82,11.999999999999932,26.9414929277164,186.69445967253543,233.69800803987957,262.4010918495326,195.75515921714535
83,11.999999999999938,27.019434261609874,186.97413358510124,234.04527469558462,262.60447740725357,195.7777851114225
84,11.99999999999994,27.1084273169169,187.21023199460302,234.16690615794744,262.6712624152291,196.1238044958684
85,11.999999999999948,27.161511943853085,188.1958130926744,234.504252418723,262.90906132387784,196.34497494179172
86,11.99999999999995,27.231775070112313,188.5605821408756,234.576100825111,263.0804730987638,196.6052824032848
87,11.999999999999954,27.27755574870719,189.72833088926774,234.81643190171647,263.2475071592142,196.89982426804886
88,11.999999999999956,27.33076442281374,190.42885090740006,235.13382092057486,263.40043310504825,197.00174964419867
89,11.999999999999957,27.43062410956708,191.9675971865461,235.2876063676796,263.6060745563826,197.03025367355113
90,11.999999999999957,28.00000000000027,192.2704144146833,235.43667203219502,263.88078755799387,197.22577022026266
91,11.99999999999996,28.034398858791263,192.63375684427356,235.44966233621838,263.9041848779845,197.4206866946904
92,11.999999999999961,28.07132328782868,192.9383098671324,235.60505725353278,264.04437504812665,197.682949235901
93,11.999999999999961,28.321044461424332,193.48890625793976,235.9098038994605,264.264100066221,197.911471403404
94,11.999999999999963,28.32879991271798,193.52911394761105,235.98015911967627,264.40191930114895,197.97268649723406
95,11.999999999999964,28.333860996529317,194.41528878310635,236.2362715889285,264.66537488791545,198.23933083431575
96,11.999999999999968,28.692720358023557,194.6076833508978,236.38431522248433,264.7203097609227,198.63970208866712
97,11.99999999999997,28.777353447567158,195.31628151338222,236.65356282359258,264.89403403140307,198.7314005823871
98,11.999999999999972,28.779564490732344,195.5755912163279,236.867503467846,265.21953988822156,198.82638722488258
